Decision,anger,fear,anticipation,trust,surprise,sadness,joy,disgust,positive,negative,Noun 
truthful,0,0.008,0.008,0.032,0.016,0,0.032,0,0.056,0.008,0.253968254
truthful,0.008064516,0,0.040322581,0.048387097,0.024193548,0,0.048387097,0.008064516,0.048387097,0.024193548,0.209677419
truthful,0.006097561,0.006097561,0.006097561,0.018292683,0.018292683,0,0.030487805,0,0.091463415,0.006097561,0.253012048
truthful,0.00280112,0,0.019607843,0.033613445,0.033613445,0.008403361,0.039215686,0.00280112,0.075630252,0.014005602,0.254901961
truthful,0.018867925,0,0.075471698,0.056603774,0.037735849,0,0.075471698,0,0.113207547,0,0.301886793
truthful,0.008928571,0.008928571,0.022321429,0.017857143,0.013392857,0.013392857,0.017857143,0.004464286,0.040178571,0.017857143,0.238938053
truthful,0,0,0.054347826,0.043478261,0.032608696,0,0.054347826,0,0.076086957,0.02173913,0.265957447
truthful,0.019230769,0,0,0,0,0,0.019230769,0,0.076923077,0.019230769,0.309090909
truthful,0,0.004273504,0.021367521,0.051282051,0.021367521,0.008547009,0.038461538,0.004273504,0.047008547,0.008547009,0.29787234
truthful,0,0,0,0.024390244,0,0,0.048780488,0,0.097560976,0,0.285714286
truthful,0,0,0.021276596,0.031914894,0.021276596,0.010638298,0.031914894,0,0.063829787,0,0.244680851
truthful,0.015873016,0,0.031746032,0.031746032,0.015873016,0,0.031746032,0,0.079365079,0,0.428571429
truthful,0,0,0.021857923,0.038251366,0.010928962,0.005464481,0.032786885,0,0.06010929,0.016393443,0.320652174
truthful,0.023640662,0.009456265,0.04964539,0.047281324,0.01891253,0.016548463,0.042553191,0.011820331,0.066193853,0.035460993,0.236111111
truthful,0.010989011,0.010989011,0.010989011,0.054945055,0.021978022,0.010989011,0.021978022,0.010989011,0.087912088,0.021978022,0.344827586
truthful,0.004,0.004,0.028,0.036,0.02,0.008,0.044,0.004,0.084,0.024,0.234126984
truthful,0.010752688,0.003584229,0.028673835,0.043010753,0.021505376,0.003584229,0.032258065,0.003584229,0.078853047,0.017921147,0.275985663
truthful,0.002392344,0.004784689,0.019138756,0.023923445,0.016746411,0.007177033,0.0215311,0,0.055023923,0.014354067,0.275943396
truthful,0,0.009009009,0.018018018,0.054054054,0.018018018,0,0.081081081,0.009009009,0.099099099,0.009009009,0.267857143
truthful,0,0,0.020408163,0.020408163,0.020408163,0,0.040816327,0,0.06122449,0.020408163,0.32
truthful,0,0,0.023255814,0.046511628,0,0.023255814,0.023255814,0,0.046511628,0,0.209302326
truthful,0,0,0,0.022988506,0,0,0.011494253,0,0.057471264,0,0.235955056
truthful,0.009803922,0.009803922,0.009803922,0.039215686,0,0.009803922,0.039215686,0.009803922,0.117647059,0.009803922,0.264705882
truthful,0,0.005747126,0.040229885,0.051724138,0.028735632,0.022988506,0.045977011,0,0.103448276,0.022988506,0.229885058
truthful,0.003984064,0,0.023904382,0.03187251,0,0,0.023904382,0,0.051792829,0.007968127,0.240458015
truthful,0,0,0.012820513,0.025641026,0,0,0.038461538,0.012820513,0.064102564,0.012820513,0.346153846
truthful,0.008,0,0.032,0.056,0.024,0.024,0.048,0,0.08,0.016,0.224806202
truthful,0,0,0.006944444,0.013888889,0.013888889,0.013888889,0.006944444,0,0.055555556,0,0.198630137
truthful,0.006024096,0.018072289,0.030120482,0.042168675,0.030120482,0.006024096,0.030120482,0.018072289,0.060240964,0.018072289,0.25443787
truthful,0,0,0.024096386,0.012048193,0.012048193,0,0,0,0.036144578,0.012048193,0.253012048
truthful,0,0,0.045454545,0.045454545,0.022727273,0,0.045454545,0,0.079545455,0,0.318181818
truthful,0,0.012987013,0,0.038961039,0.012987013,0.012987013,0.051948052,0,0.051948052,0.025974026,0.12987013
truthful,0,0,0.02970297,0.03960396,0,0,0.00990099,0,0.089108911,0.00990099,0.310679612
truthful,0.005586592,0,0.033519553,0.05027933,0.022346369,0.005586592,0.05027933,0,0.072625698,0.011173184,0.288888889
truthful,0.006024096,0,0.018072289,0.018072289,0,0.006024096,0.018072289,0.006024096,0.054216867,0.012048193,0.256097561
truthful,0,0,0.020304569,0.065989848,0.015228426,0,0.055837563,0.005076142,0.096446701,0.020304569,0.263959391
truthful,0.016393443,0,0.032786885,0.081967213,0.06557377,0.016393443,0.081967213,0,0.114754098,0.032786885,0.225806452
truthful,0.014925373,0,0,0.029850746,0,0,0.014925373,0,0.044776119,0.014925373,0.28358209
truthful,0.022222222,0.007407407,0.007407407,0.022222222,0.007407407,0,0.02962963,0.007407407,0.044444444,0.02962963,0.213235294
truthful,0,0.012658228,0,0.012658228,0.025316456,0,0.025316456,0,0.050632911,0,0.329545455
truthful,0,0,0.034188034,0.034188034,0.025641026,0.017094017,0.025641026,0,0.085470085,0,0.285714286
truthful,0,0.02,0.1,0.06,0.04,0.02,0.06,0,0.12,0.02,0.32
truthful,0,0,0.044247788,0.079646018,0.03539823,0.026548673,0.061946903,0,0.115044248,0,0.216216216
truthful,0.010526316,0.010526316,0.021052632,0.031578947,0,0.021052632,0.021052632,0,0.052631579,0.042105263,0.273684211
truthful,0,0,0.045045045,0.036036036,0.027027027,0.009009009,0.036036036,0,0.063063063,0,0.216216216
truthful,0.013888889,0.013888889,0.055555556,0.041666667,0.069444444,0.013888889,0.041666667,0.013888889,0.069444444,0.013888889,0.219178082
truthful,0,0,0.017241379,0.051724138,0.017241379,0.017241379,0.068965517,0,0.137931034,0.017241379,0.169491525
truthful,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.271428571
truthful,0.00625,0,0.03125,0.0375,0.0125,0.00625,0.0375,0.00625,0.06875,0.00625,0.254658385
truthful,0.011627907,0.005813953,0.034883721,0.040697674,0.023255814,0.011627907,0.052325581,0.005813953,0.087209302,0.01744186,0.25862069
truthful,0.006993007,0,0.020979021,0.013986014,0.013986014,0,0.034965035,0,0.055944056,0,0.300699301
truthful,0,0,0.01010101,0.02020202,0,0,0.02020202,0,0.02020202,0,0.272727273
truthful,0,0.013888889,0.013888889,0.041666667,0,0.027777778,0.041666667,0,0.055555556,0.027777778,0.25
truthful,0,0,0,0.065217391,0,0,0.065217391,0,0.065217391,0,0.270833333
truthful,0,0,0,0.025974026,0,0.012987013,0.012987013,0,0.025974026,0,0.376623377
truthful,0,0,0.037037037,0.074074074,0.037037037,0.012345679,0.049382716,0,0.086419753,0.012345679,0.317073171
truthful,0.016666667,0,0.033333333,0.05,0.016666667,0.008333333,0.1,0,0.141666667,0.025,0.327731092
truthful,0.018348624,0,0.027522936,0.036697248,0.018348624,0,0.027522936,0,0.04587156,0.027522936,0.236363636
truthful,0,0.010989011,0.010989011,0.043956044,0,0,0.054945055,0,0.076923077,0.010989011,0.311827957
truthful,0,0,0.014084507,0.021126761,0.007042254,0,0.021126761,0,0.035211268,0.007042254,0.256944444
truthful,0,0,0.035714286,0.023809524,0,0,0.035714286,0,0.071428571,0,0.297619048
truthful,0,0,0.024390244,0.058536585,0.004878049,0,0.03902439,0,0.07804878,0,0.268292683
truthful,0.012345679,0.012345679,0.012345679,0.024691358,0.012345679,0,0.024691358,0,0.049382716,0.037037037,0.280487805
truthful,0,0,0.027027027,0.013513514,0,0,0.013513514,0,0.027027027,0.013513514,0.277777778
truthful,0.0125,0.0125,0.0375,0.0625,0.0375,0.0125,0.0625,0.0125,0.075,0.0125,0.2875
truthful,0,0,0.0125,0.0375,0.025,0,0.0375,0,0.075,0,0.38028169
truthful,0,0,0.024390244,0.073170732,0,0,0.097560976,0,0.170731707,0,0.302325581
truthful,0,0,0.012987013,0.064935065,0.012987013,0,0.038961039,0,0.090909091,0.012987013,0.266666667
truthful,0,0,0.008849558,0.017699115,0.008849558,0,0.026548673,0,0.079646018,0.008849558,0.292035398
truthful,0,0,0.02173913,0.048913043,0.010869565,0,0.038043478,0,0.070652174,0.005434783,0.231182796
truthful,0,0,0.023255814,0.054263566,0.015503876,0.007751938,0.03875969,0,0.069767442,0.007751938,0.196850394
truthful,0.012987013,0,0.038961039,0.051948052,0.012987013,0.012987013,0.051948052,0,0.103896104,0.038961039,0.272727273
truthful,0.015384615,0.015384615,0.046153846,0.046153846,0.030769231,0.015384615,0.046153846,0.015384615,0.076923077,0.015384615,0.215384615
truthful,0.007042254,0,0.035211268,0.063380282,0.021126761,0.007042254,0.049295775,0,0.091549296,0.014084507,0.286713287
truthful,0.002597403,0.002597403,0.028571429,0.036363636,0.015584416,0.002597403,0.036363636,0,0.07012987,0.015584416,0.237244898
truthful,0,0,0.028037383,0.046728972,0.018691589,0.018691589,0.037383178,0,0.074766355,0.028037383,0.212962963
truthful,0,0,0.058139535,0.081395349,0.034883721,0,0.069767442,0,0.093023256,0,0.268817204
truthful,0.010416667,0.005208333,0.026041667,0.03125,0.010416667,0.005208333,0.036458333,0.005208333,0.046875,0.005208333,0.217171717
truthful,0.013513514,0,0.054054054,0.081081081,0.027027027,0,0.067567568,0.013513514,0.121621622,0.013513514,0.302631579
truthful,0.007936508,0.007936508,0.03968254,0.03968254,0.023809524,0.007936508,0.055555556,0,0.063492063,0.023809524,0.208
truthful,0,0,0.017241379,0.025862069,0,0.00862069,0.017241379,0,0.051724138,0.017241379,0.230769231
truthful,0,0,0.024390244,0.048780488,0,0,0.048780488,0,0.048780488,0.024390244,0.25
truthful,0,0.007407407,0.044444444,0.037037037,0.022222222,0.007407407,0.044444444,0.007407407,0.051851852,0.014814815,0.235294118
truthful,0,0.005050505,0.04040404,0.03030303,0.015151515,0,0.03030303,0,0.060606061,0.005050505,0.206896552
truthful,0,0,0.027027027,0.054054054,0,0,0.040540541,0,0.081081081,0,0.273972603
truthful,0,0,0.071428571,0.017857143,0,0.017857143,0.053571429,0,0.107142857,0.017857143,0.267857143
truthful,0,0.024390244,0.024390244,0.048780488,0,0.024390244,0,0,0.048780488,0.024390244,0.317073171
truthful,0.008474576,0.016949153,0.050847458,0.042372881,0.025423729,0.008474576,0.033898305,0,0.059322034,0.016949153,0.262711864
truthful,0,0,0.025316456,0.029535865,0.016877637,0,0.021097046,0.004219409,0.029535865,0.012658228,0.214876033
truthful,0,0,0.033557047,0.033557047,0.026845638,0.013422819,0.053691275,0,0.060402685,0.013422819,0.19205298
truthful,0,0.008849558,0.026548673,0.03539823,0.03539823,0.017699115,0.053097345,0.008849558,0.10619469,0.008849558,0.318584071
truthful,0,0,0.037974684,0.075949367,0.03164557,0,0.050632911,0,0.094936709,0.006329114,0.259493671
truthful,0.012820513,0.004273504,0.021367521,0.034188034,0.012820513,0.008547009,0.02991453,0.004273504,0.055555556,0.012820513,0.200854701
truthful,0.012195122,0,0.012195122,0.036585366,0.012195122,0,0.048780488,0,0.085365854,0.024390244,0.321839081
truthful,0,0,0.01369863,0.006849315,0.006849315,0,0.006849315,0,0.054794521,0,0.201342282
truthful,0.01010101,0,0.03030303,0.02020202,0.02020202,0,0.02020202,0,0.060606061,0.02020202,0.26
truthful,0.011627907,0.023255814,0.034883721,0.058139535,0.023255814,0.023255814,0.046511628,0.011627907,0.093023256,0.023255814,0.195402299
truthful,0,0,0.047169811,0.056603774,0.028301887,0.009433962,0.047169811,0,0.08490566,0,0.301886793
truthful,0.004950495,0,0.01980198,0.044554455,0.01980198,0.00990099,0.024752475,0.00990099,0.069306931,0.024752475,0.282926829
truthful,0,0,0.035714286,0.023809524,0.011904762,0.011904762,0.05952381,0.011904762,0.095238095,0.011904762,0.178571429
truthful,0,0,0.016260163,0.008130081,0.016260163,0.008130081,0.008130081,0,0.016260163,0.008130081,0.214876033
truthful,0,0,0.047619048,0.03968254,0.023809524,0.015873016,0.063492063,0,0.079365079,0.023809524,0.23255814
truthful,0.007575758,0,0.007575758,0.037878788,0.007575758,0.007575758,0.015151515,0,0.037878788,0.015151515,0.295454546
truthful,0,0,0.046875,0.03125,0.015625,0.015625,0.046875,0,0.0625,0.015625,0.206349206
truthful,0.018181818,0.018181818,0.018181818,0.054545455,0.036363636,0,0.072727273,0,0.090909091,0.018181818,0.196428571
truthful,0,0.008032129,0.024096386,0.020080321,0.016064257,0.012048193,0.016064257,0,0.036144578,0.032128514,0.199203187
truthful,0.007194245,0,0.028776978,0.028776978,0.014388489,0,0.021582734,0,0.050359712,0.021582734,0.28057554
truthful,0,0,0.060606061,0.080808081,0.02020202,0,0.070707071,0,0.121212121,0.01010101,0.262626263
truthful,0.006872852,0.017182131,0.017182131,0.030927835,0.013745704,0.010309278,0.030927835,0.006872852,0.054982818,0.017182131,0.232876712
truthful,0.01744186,0,0.023255814,0.046511628,0.01744186,0.005813953,0.040697674,0,0.087209302,0.005813953,0.24
truthful,0.012820513,0.009615385,0.019230769,0.041666667,0.016025641,0.009615385,0.022435897,0.006410256,0.041666667,0.025641026,0.321766562
truthful,0,0,0.041322314,0.041322314,0.008264463,0.008264463,0.041322314,0,0.066115702,0,0.305785124
truthful,0.017241379,0.017241379,0.068965517,0.043103448,0.017241379,0.00862069,0.060344828,0.00862069,0.086206897,0.034482759,0.224137931
truthful,0,0.004830918,0.033816425,0.028985507,0.024154589,0.014492754,0.038647343,0.004830918,0.06763285,0.019323671,0.282296651
truthful,0,0,0.01863354,0.01863354,0.00621118,0,0.01863354,0,0.055900621,0,0.260869565
truthful,0,0,0.04,0.05,0.01,0,0.05,0,0.08,0.01,0.306930693
truthful,0,0.011904762,0.095238095,0.05952381,0.047619048,0,0.071428571,0,0.107142857,0.011904762,0.25
truthful,0,0,0.011235955,0.056179775,0,0,0.04494382,0,0.04494382,0.011235955,0.352272727
truthful,0,0.007462687,0,0.007462687,0,0.007462687,0.007462687,0,0.052238806,0.014925373,0.215827338
truthful,0,0,0,0.039215686,0.019607843,0,0.058823529,0,0.078431373,0,0.235294118
truthful,0,0,0.049019608,0.029411765,0.019607843,0.009803922,0.039215686,0,0.049019608,0.009803922,0.252427185
truthful,0,0,0,0.010989011,0,0,0.010989011,0,0.021978022,0,0.351648352
truthful,0.005524862,0,0.027624309,0.016574586,0.011049724,0.005524862,0.022099448,0.005524862,0.066298343,0.011049724,0.276243094
truthful,0.01980198,0.01980198,0.03960396,0.02970297,0.01980198,0,0.01980198,0.00990099,0.069306931,0.04950495,0.317757009
truthful,0,0,0.073170732,0.073170732,0.024390244,0,0.085365854,0,0.134146341,0,0.34939759
truthful,0.027272727,0.018181818,0.045454545,0.054545455,0.009090909,0.018181818,0.045454545,0,0.072727273,0.036363636,0.279279279
truthful,0,0,0.025641026,0.076923077,0,0,0.128205128,0,0.153846154,0,0.394736842
truthful,0,0,0.042253521,0.018779343,0.018779343,0.004694836,0.037558685,0.004694836,0.079812207,0.014084507,0.267281106
truthful,0,0,0.04494382,0.02247191,0.02247191,0,0.033707865,0,0.101123596,0,0.272727273
truthful,0,0,0.02970297,0.059405941,0,0,0.059405941,0,0.089108911,0.00990099,0.227722772
truthful,0.00591716,0,0.053254438,0.059171598,0.035502959,0,0.047337278,0,0.088757396,0.01183432,0.276470588
truthful,0,0,0.017241379,0.017241379,0.017241379,0.017241379,0.017241379,0,0.068965517,0,0.344827586
truthful,0.013888889,0,0.027777778,0.041666667,0,0.013888889,0.027777778,0,0.041666667,0.055555556,0.222222222
truthful,0.013071895,0,0.026143791,0.045751634,0.019607843,0,0.032679739,0.006535948,0.039215686,0.006535948,0.235294118
truthful,0,0,0.022222222,0.016666667,0,0.005555556,0.022222222,0,0.061111111,0,0.256830601
truthful,0.004273504,0.012820513,0.025641026,0.025641026,0.025641026,0.025641026,0.042735043,0.008547009,0.076923077,0.025641026,0.259414226
truthful,0.004694836,0.004694836,0.028169014,0.03286385,0.014084507,0.009389671,0.023474178,0.004694836,0.051643192,0.014084507,0.1875
truthful,0.010230179,0.012787724,0.017902813,0.033248082,0.010230179,0.015345269,0.025575448,0.007672634,0.061381074,0.017902813,0.300254453
truthful,0.008474576,0.008474576,0.033898305,0.059322034,0.025423729,0,0.050847458,0.008474576,0.093220339,0.008474576,0.194915254
truthful,0.015873016,0.015873016,0.031746032,0.095238095,0.015873016,0.015873016,0.063492063,0.015873016,0.111111111,0.015873016,0.203125
truthful,0,0,0.033333333,0.022222222,0,0,0.044444444,0,0.066666667,0.011111111,0.2
truthful,0,0.005025126,0.025125628,0.050251256,0.025125628,0.005025126,0.040201005,0,0.075376884,0.015075377,0.24
truthful,0,0,0,0,0,0,0,0,0.058823529,0.019607843,0.31372549
truthful,0.011111111,0,0.044444444,0.033333333,0.022222222,0.011111111,0.055555556,0,0.077777778,0.011111111,0.25
truthful,0.016666667,0,0,0.083333333,0.016666667,0.016666667,0.083333333,0,0.133333333,0.016666667,0.383333333
truthful,0,0.009345794,0.009345794,0.028037383,0.028037383,0,0.028037383,0,0.056074766,0.009345794,0.214953271
truthful,0,0.007518797,0,0.015037594,0,0.007518797,0.015037594,0,0.052631579,0.015037594,0.234848485
truthful,0,0.012658228,0.012658228,0.012658228,0.012658228,0,0.037974684,0,0.075949367,0,0.2875
truthful,0,0.006666667,0.026666667,0.046666667,0.04,0.013333333,0.053333333,0,0.086666667,0.006666667,0.22147651
truthful,0,0,0.068376068,0.068376068,0.017094017,0,0.05982906,0,0.102564103,0,0.245762712
truthful,0,0,0.027522936,0.027522936,0.009174312,0,0.027522936,0,0.04587156,0.009174312,0.293577982
truthful,0.01980198,0.01980198,0.069306931,0.059405941,0.01980198,0.00990099,0.04950495,0.01980198,0.079207921,0.02970297,0.297029703
truthful,0.024096386,0.024096386,0.036144578,0.072289157,0.036144578,0.048192771,0.060240964,0.024096386,0.084337349,0.048192771,0.285714286
truthful,0,0,0,0.00877193,0.00877193,0.00877193,0.00877193,0,0.052631579,0.00877193,0.205128205
truthful,0,0,0.00729927,0.051094891,0.01459854,0,0.051094891,0,0.072992701,0.01459854,0.237410072
truthful,0.006849315,0.01369863,0.047945205,0.054794521,0.020547945,0.01369863,0.047945205,0.006849315,0.102739726,0.020547945,0.319727891
truthful,0,0,0.053030303,0.03030303,0,0.015151515,0.037878788,0,0.090909091,0.007575758,0.267175573
truthful,0,0,0.018072289,0.024096386,0.018072289,0.006024096,0.030120482,0,0.084337349,0,0.299401198
truthful,0,0,0.048780488,0.12195122,0,0,0.12195122,0,0.12195122,0,0.268292683
truthful,0,0,0.034482759,0.068965517,0.022988506,0.011494253,0.057471264,0,0.091954023,0.022988506,0.206896552
truthful,0,0,0.052631579,0.052631579,0,0,0.070175439,0,0.087719298,0,0.25862069
truthful,0.015384615,0.015384615,0.046153846,0.015384615,0.015384615,0.015384615,0.030769231,0,0.046153846,0.030769231,0.153846154
truthful,0,0.009174312,0.027522936,0.036697248,0.036697248,0.009174312,0.055045872,0,0.064220183,0.018348624,0.212962963
truthful,0.004651163,0,0.037209302,0.041860465,0.009302326,0,0.041860465,0,0.079069767,0.018604651,0.222727273
truthful,0.014705882,0.014705882,0.029411765,0.088235294,0.029411765,0.014705882,0.058823529,0,0.117647059,0.014705882,0.397058824
truthful,0.013888889,0.013888889,0.055555556,0.097222222,0.027777778,0.013888889,0.083333333,0.013888889,0.097222222,0.013888889,0.197183099
truthful,0,0.00990099,0.059405941,0.02970297,0,0,0.069306931,0,0.079207921,0,0.267326733
truthful,0,0,0.046875,0.09375,0.015625,0.015625,0.078125,0,0.109375,0,0.323076923
truthful,0,0.004385965,0.026315789,0.039473684,0.00877193,0,0.057017544,0,0.078947368,0,0.262008734
truthful,0,0,0.033816425,0.043478261,0.028985507,0.004830918,0.043478261,0,0.086956522,0.004830918,0.205882353
truthful,0.002915452,0.002915452,0.023323615,0.026239067,0.008746356,0.002915452,0.026239067,0,0.052478134,0.008746356,0.231213873
truthful,0,0,0.019607843,0.039215686,0.009803922,0,0.029411765,0,0.068627451,0,0.284313726
truthful,0.003424658,0.010273973,0.023972603,0.020547945,0.010273973,0.010273973,0.017123288,0.003424658,0.030821918,0.017123288,0.274576271
truthful,0.003521127,0,0.031690141,0.024647887,0.007042254,0,0.021126761,0.003521127,0.056338028,0.021126761,0.265734266
truthful,0,0,0,0,0,0.037037037,0,0,0.055555556,0,0.296296296
truthful,0,0,0.011627907,0.046511628,0,0,0.023255814,0,0.058139535,0.023255814,0.244186047
truthful,0,0.011235955,0.033707865,0.033707865,0,0.011235955,0.02247191,0,0.056179775,0.011235955,0.213483146
truthful,0.040650407,0.016260163,0.024390244,0.06504065,0.032520325,0.008130081,0.048780488,0.016260163,0.06504065,0.048780488,0.293650794
truthful,0,0.006097561,0.024390244,0.018292683,0.006097561,0.006097561,0.036585366,0,0.042682927,0.018292683,0.270588235
truthful,0.032258065,0.016129032,0.080645161,0.048387097,0.032258065,0.016129032,0.080645161,0.016129032,0.129032258,0.032258065,0.153846154
truthful,0.014285714,0,0.042857143,0.057142857,0.028571429,0,0.1,0.014285714,0.1,0.014285714,0.357142857
truthful,0,0.009090909,0.018181818,0.027272727,0.009090909,0.009090909,0.036363636,0,0.063636364,0.018181818,0.162162162
truthful,0,0,0.06779661,0.093220339,0.016949153,0,0.06779661,0,0.127118644,0,0.228813559
truthful,0.00877193,0,0.01754386,0.052631579,0.01754386,0.01754386,0.035087719,0.00877193,0.078947368,0.00877193,0.254385965
truthful,0.021276596,0.010638298,0.031914894,0.042553191,0.010638298,0.021276596,0.053191489,0.010638298,0.074468085,0.021276596,0.225806452
truthful,0,0.012658228,0.025316456,0.03164557,0.018987342,0,0.050632911,0,0.101265823,0.006329114,0.221518987
truthful,0,0,0.011494253,0.045977011,0.011494253,0.011494253,0.057471264,0,0.091954023,0,0.310344828
truthful,0,0,0.016129032,0.032258065,0,0.016129032,0.016129032,0,0.064516129,0,0.25
truthful,0,0,0.056603774,0.056603774,0.037735849,0,0.075471698,0,0.094339623,0,0.264150943
truthful,0,0,0.054216867,0.084337349,0.036144578,0.018072289,0.108433735,0,0.138554217,0.006024096,0.244047619
truthful,0.003257329,0.003257329,0.016286645,0.019543974,0.013029316,0.013029316,0.029315961,0,0.048859935,0.006514658,0.31629393
truthful,0,0.005847953,0.023391813,0.029239766,0.01754386,0.005847953,0.01754386,0,0.058479532,0.01754386,0.220930233
