Decision,anger,fear,anticipation,trust,surprise,sadness,joy,disgust,positive,negative
truthful,0.00280112,0,0.014005602,0.019607843,0.019607843,0.005602241,0.028011204,0.00280112,0.047619048,0.008403361
truthful,0.018867925,0,0.056603774,0.056603774,0.037735849,0,0.056603774,0,0.094339623,0
truthful,0.008928571,0.008928571,0.013392857,0.008928571,0.004464286,0.008928571,0.008928571,0.004464286,0.026785714,0.013392857
truthful,0,0,0.032608696,0.032608696,0.010869565,0,0.032608696,0,0.043478261,0.02173913
truthful,0,0,0,0,0,0,0.019230769,0,0.057692308,0
truthful,0,0,0.012820513,0.038461538,0.012820513,0,0.02991453,0,0.034188034,0
truthful,0,0,0,0.024390244,0,0,0.024390244,0,0.048780488,0
truthful,0,0,0.021276596,0.031914894,0.021276596,0.010638298,0.031914894,0,0.063829787,0
truthful,0.015873016,0,0.031746032,0.031746032,0.015873016,0,0.031746032,0,0.063492063,0
truthful,0,0,0.021857923,0.043715847,0.016393443,0,0.038251366,0,0.06010929,0.010928962
truthful,0.016548463,0.007092199,0.037825059,0.033096927,0.011820331,0.011820331,0.030732861,0.007092199,0.04964539,0.026004728
truthful,0,0,0,0.032967033,0.010989011,0,0.010989011,0,0.065934066,0.010989011
truthful,0,0.004,0.028,0.024,0.016,0.008,0.036,0,0.076,0.02
truthful,0.010752688,0,0.017921147,0.032258065,0.021505376,0.003584229,0.021505376,0.003584229,0.0609319,0.014336918
truthful,0,0.004784689,0.014354067,0.0215311,0.014354067,0.004784689,0.016746411,0.004784689,0.050239234,0.011961722
truthful,0,0,0.009009009,0.045045045,0.009009009,0,0.045045045,0.009009009,0.054054054,0
truthful,0,0,0,0.020408163,0.020408163,0,0.020408163,0,0.040816327,0.020408163
truthful,0,0,0.023255814,0.046511628,0,0.023255814,0.023255814,0,0.046511628,0
truthful,0,0,0,0.022988506,0,0,0.011494253,0,0.045977011,0
truthful,0.009803922,0.009803922,0.009803922,0.029411765,0,0.009803922,0.039215686,0.009803922,0.107843137,0.009803922
truthful,0,0.005747126,0.034482759,0.045977011,0.022988506,0.022988506,0.045977011,0.005747126,0.08045977,0.017241379
truthful,0.003984064,0,0.019920319,0.03187251,0,0,0.019920319,0,0.043824701,0.007968127
truthful,0,0,0,0.012820513,0,0,0.025641026,0.012820513,0.038461538,0.012820513
truthful,0.008,0,0.032,0.032,0.008,0.016,0.032,0,0.04,0.016
truthful,0,0,0,0.020833333,0.006944444,0.013888889,0.006944444,0,0.048611111,0
truthful,0,0,0.012048193,0.030120482,0.018072289,0,0.018072289,0,0.042168675,0
truthful,0,0,0.012048193,0.012048193,0.012048193,0,0,0,0.012048193,0
truthful,0,0,0.034090909,0.034090909,0.022727273,0,0.045454545,0,0.068181818,0
truthful,0,0.012987013,0,0.038961039,0.012987013,0.012987013,0.051948052,0,0.051948052,0.025974026
truthful,0,0,0.02970297,0.02970297,0,0,0.00990099,0,0.089108911,0
truthful,0.005586592,0,0.016759777,0.033519553,0.016759777,0.011173184,0.033519553,0,0.055865922,0.011173184
truthful,0.006024096,0,0.006024096,0.006024096,0,0.006024096,0.006024096,0.006024096,0.042168675,0.012048193
truthful,0.005076142,0.005076142,0.020304569,0.050761421,0.015228426,0.005076142,0.050761421,0.010152284,0.091370558,0.010152284
truthful,0.016393443,0,0.016393443,0.06557377,0.032786885,0,0.06557377,0,0.081967213,0.016393443
truthful,0.014925373,0,0,0.014925373,0,0,0,0,0.029850746,0.014925373
truthful,0.022222222,0.007407407,0,0.014814815,0.007407407,0,0.014814815,0.007407407,0.02962963,0.022222222
truthful,0,0.012658228,0.012658228,0.025316456,0.037974684,0,0.037974684,0,0.063291139,0
truthful,0,0,0.008547009,0.017094017,0.008547009,0.017094017,0.008547009,0,0.042735043,0
truthful,0,0.02,0.06,0.02,0.02,0.02,0.02,0,0.06,0.02
truthful,0,0,0.026548673,0.061946903,0.017699115,0.017699115,0.03539823,0,0.079646018,0
truthful,0.010526316,0.010526316,0.021052632,0.031578947,0,0.021052632,0.021052632,0,0.052631579,0.042105263
truthful,0,0,0.027027027,0.027027027,0.018018018,0.009009009,0.027027027,0,0.054054054,0
truthful,0,0,0.027777778,0.027777778,0.041666667,0.013888889,0.027777778,0,0.055555556,0.013888889
truthful,0,0,0.017241379,0.051724138,0.017241379,0.017241379,0.068965517,0,0.137931034,0.017241379
truthful,0.014285714,0.014285714,0,0,0,0.014285714,0,0.014285714,0,0.014285714
truthful,0.00625,0,0.0375,0.0375,0.0125,0.00625,0.0375,0.00625,0.05625,0.00625
truthful,0.005813953,0,0.034883721,0.034883721,0.011627907,0,0.046511628,0,0.063953488,0.005813953
truthful,0.006993007,0,0.013986014,0.013986014,0.013986014,0,0.034965035,0,0.055944056,0
truthful,0,0,0.01010101,0.01010101,0,0,0.02020202,0,0.02020202,0
truthful,0,0.013888889,0.013888889,0.041666667,0,0.027777778,0.041666667,0,0.055555556,0.027777778
truthful,0,0,0,0.065217391,0,0,0.065217391,0,0.065217391,0
truthful,0,0,0,0.012987013,0,0.012987013,0,0,0.012987013,0
truthful,0,0,0.037037037,0.061728395,0.037037037,0.012345679,0.049382716,0,0.074074074,0.012345679
truthful,0.008333333,0,0.025,0.041666667,0.008333333,0,0.091666667,0,0.133333333,0.016666667
truthful,0.018348624,0,0.009174312,0.027522936,0.009174312,0,0.018348624,0,0.036697248,0.018348624
truthful,0,0.010989011,0,0.032967033,0,0.010989011,0.043956044,0,0.065934066,0.010989011
truthful,0,0,0.007042254,0.021126761,0,0,0.021126761,0,0.035211268,0.014084507
truthful,0,0,0.023809524,0.023809524,0,0,0.035714286,0,0.047619048,0
truthful,0,0,0.019512195,0.053658537,0,0,0.03902439,0,0.068292683,0
truthful,0,0.012345679,0.012345679,0.024691358,0.012345679,0,0.012345679,0,0.037037037,0.024691358
truthful,0,0,0.027027027,0.013513514,0,0,0.013513514,0,0.027027027,0.013513514
truthful,0.0125,0.0125,0.025,0.05,0.025,0.0125,0.05,0.0125,0.0625,0.0125
truthful,0,0,0.0125,0.0375,0.025,0,0.0375,0,0.0625,0
truthful,0,0,0.024390244,0.073170732,0,0,0.097560976,0,0.146341463,0
truthful,0,0,0.012987013,0.064935065,0.012987013,0,0.038961039,0,0.090909091,0.012987013
truthful,0,0,0.008849558,0.017699115,0,0,0.017699115,0,0.053097345,0
truthful,0,0,0.02173913,0.038043478,0.005434783,0,0.038043478,0,0.065217391,0.005434783
truthful,0,0,0.015503876,0.054263566,0.007751938,0.015503876,0.03875969,0,0.062015504,0.007751938
truthful,0.012987013,0,0.012987013,0.051948052,0,0.012987013,0.051948052,0,0.103896104,0.038961039
truthful,0,0,0.046153846,0.030769231,0.015384615,0,0.046153846,0,0.076923077,0
truthful,0.007042254,0,0.035211268,0.063380282,0.021126761,0.007042254,0.049295775,0,0.077464789,0.007042254
truthful,0.002597403,0.002597403,0.023376623,0.028571429,0.012987013,0.002597403,0.031168831,0,0.062337662,0.015584416
truthful,0,0,0.018691589,0.037383178,0.009345794,0.009345794,0.028037383,0,0.074766355,0.009345794
truthful,0,0,0.046511628,0.069767442,0.023255814,0,0.058139535,0,0.069767442,0
truthful,0.010416667,0.005208333,0.020833333,0.020833333,0.010416667,0.005208333,0.03125,0.005208333,0.036458333,0.005208333
truthful,0.013513514,0,0.054054054,0.067567568,0.027027027,0,0.054054054,0.013513514,0.108108108,0.013513514
truthful,0.007936508,0.007936508,0.031746032,0.03968254,0.015873016,0.007936508,0.047619048,0,0.055555556,0.023809524
truthful,0,0,0,0.017241379,0,0.00862069,0.00862069,0,0.034482759,0.017241379
truthful,0,0,0.024390244,0.048780488,0,0,0.048780488,0,0.048780488,0.024390244
truthful,0,0.007407407,0.02962963,0.037037037,0.022222222,0,0.044444444,0.007407407,0.051851852,0.014814815
truthful,0,0.005050505,0.035353535,0.035353535,0.02020202,0,0.025252525,0.005050505,0.050505051,0.005050505
truthful,0,0,0,0.027027027,0,0,0.013513514,0,0.040540541,0
truthful,0,0,0.053571429,0.017857143,0,0.017857143,0.017857143,0,0.053571429,0.017857143
truthful,0,0,0.024390244,0.048780488,0,0,0,0,0.048780488,0
truthful,0.008474576,0,0.033898305,0.033898305,0.016949153,0.008474576,0.016949153,0,0.042372881,0.008474576
truthful,0,0,0.021097046,0.021097046,0.012658228,0,0.016877637,0,0.021097046,0.012658228
truthful,0,0,0.026845638,0.026845638,0.013422819,0.006711409,0.046979866,0,0.046979866,0.006711409
truthful,0,0.008849558,0.026548673,0.03539823,0.03539823,0.017699115,0.044247788,0.008849558,0.07079646,0.008849558
truthful,0,0,0.03164557,0.050632911,0.018987342,0,0.03164557,0,0.075949367,0
truthful,0.008547009,0.004273504,0.012820513,0.021367521,0.004273504,0.004273504,0.021367521,0.004273504,0.047008547,0.012820513
truthful,0,0,0.012195122,0.036585366,0.012195122,0,0.048780488,0,0.085365854,0.012195122
truthful,0,0,0.006849315,0,0.006849315,0,0,0,0.047945205,0
truthful,0.01010101,0,0.02020202,0.02020202,0.01010101,0,0.02020202,0,0.050505051,0.02020202
truthful,0,0.011627907,0.011627907,0.046511628,0.011627907,0,0.034883721,0,0.069767442,0
truthful,0,0,0.037735849,0.047169811,0.018867925,0.009433962,0.037735849,0,0.075471698,0
truthful,0,0,0.01980198,0.03960396,0.014851485,0.00990099,0.02970297,0,0.069306931,0.004950495
truthful,0,0,0.023809524,0.023809524,0.011904762,0.011904762,0.047619048,0,0.083333333,0
truthful,0,0,0.016260163,0.008130081,0.008130081,0,0.008130081,0,0.016260163,0
truthful,0,0,0.023809524,0.015873016,0.015873016,0.015873016,0.023809524,0,0.03968254,0.023809524
truthful,0,0,0,0.03030303,0.007575758,0.007575758,0.007575758,0,0.03030303,0.007575758
truthful,0,0,0.03125,0.03125,0.015625,0.015625,0.046875,0,0.046875,0.015625
truthful,0.018181818,0.018181818,0.018181818,0.036363636,0.036363636,0,0.054545455,0,0.072727273,0.018181818
truthful,0,0.008032129,0.020080321,0.020080321,0.016064257,0.012048193,0.012048193,0,0.032128514,0.02811245
truthful,0.007194245,0,0.021582734,0.028776978,0.014388489,0,0.021582734,0.007194245,0.028776978,0.014388489
truthful,0,0,0.04040404,0.060606061,0.02020202,0,0.060606061,0,0.101010101,0.01010101
truthful,0.006872852,0.013745704,0.017182131,0.027491409,0.013745704,0.010309278,0.030927835,0.006872852,0.054982818,0.013745704
truthful,0.01744186,0,0.023255814,0.058139535,0.01744186,0.011627907,0.052325581,0,0.098837209,0
truthful,0.012820513,0.009615385,0.012820513,0.03525641,0.016025641,0.009615385,0.019230769,0.006410256,0.03525641,0.025641026
truthful,0,0.008264463,0.024793388,0.024793388,0.008264463,0.008264463,0.024793388,0,0.049586777,0
truthful,0.017241379,0.017241379,0.060344828,0.043103448,0.017241379,0.00862069,0.060344828,0.00862069,0.086206897,0.034482759
truthful,0,0.004830918,0.024154589,0.028985507,0.019323671,0.009661836,0.033816425,0.004830918,0.053140097,0.009661836
truthful,0,0,0.037267081,0.01863354,0.00621118,0,0.01863354,0,0.043478261,0
truthful,0,0,0.02,0.02,0.01,0,0.03,0,0.06,0.01
truthful,0,0,0.071428571,0.047619048,0.047619048,0,0.05952381,0,0.095238095,0.011904762
truthful,0,0,0.011235955,0.033707865,0,0,0.033707865,0,0.033707865,0.011235955
truthful,0.007462687,0.007462687,0,0.007462687,0,0.014925373,0.007462687,0,0.059701493,0.02238806
truthful,0,0,0,0.039215686,0.019607843,0,0.058823529,0,0.078431373,0
truthful,0,0,0.029411765,0.019607843,0,0,0.029411765,0,0.029411765,0
truthful,0,0,0,0.010989011,0,0,0.010989011,0,0.010989011,0
truthful,0.005524862,0,0.022099448,0.022099448,0.011049724,0.005524862,0.027624309,0.005524862,0.060773481,0.011049724
truthful,0.00990099,0,0.02970297,0.00990099,0.00990099,0,0.00990099,0,0.03960396,0.01980198
truthful,0,0,0.073170732,0.048780488,0.012195122,0,0.073170732,0,0.109756098,0
truthful,0.027272727,0.009090909,0.018181818,0.036363636,0.009090909,0.027272727,0.027272727,0,0.045454545,0.036363636
truthful,0,0,0.025641026,0.051282051,0,0,0.076923077,0,0.102564103,0
truthful,0,0,0.028169014,0.023474178,0.009389671,0.004694836,0.028169014,0.004694836,0.070422535,0.014084507
truthful,0,0,0.02247191,0.02247191,0.02247191,0,0.02247191,0,0.056179775,0
truthful,0,0,0.02970297,0.059405941,0,0,0.059405941,0,0.089108911,0.00990099
truthful,0.00591716,0,0.053254438,0.053254438,0.023668639,0,0.041420118,0,0.082840237,0.01183432
truthful,0,0,0.017241379,0,0.017241379,0.017241379,0.017241379,0,0.051724138,0
truthful,0.013888889,0,0.013888889,0.027777778,0,0,0.013888889,0,0.027777778,0.041666667
truthful,0.013071895,0,0.019607843,0.039215686,0.019607843,0,0.026143791,0.006535948,0.032679739,0.013071895
truthful,0,0,0.027777778,0.016666667,0,0.005555556,0.022222222,0,0.061111111,0.005555556
truthful,0.004273504,0.004273504,0.025641026,0.02991453,0.025641026,0.025641026,0.042735043,0.008547009,0.068376068,0.021367521
truthful,0.009389671,0.009389671,0.037558685,0.03286385,0.014084507,0.014084507,0.028169014,0.009389671,0.051643192,0.018779343
truthful,0.010230179,0.012787724,0.012787724,0.035805627,0.007672634,0.012787724,0.028132992,0.002557545,0.058823529,0.015345269
truthful,0.008474576,0.008474576,0.016949153,0.042372881,0.016949153,0,0.033898305,0.008474576,0.06779661,0.008474576
truthful,0.015873016,0.015873016,0.031746032,0.079365079,0.015873016,0.015873016,0.063492063,0.015873016,0.095238095,0.015873016
truthful,0,0,0.033333333,0.022222222,0,0,0.044444444,0,0.066666667,0.011111111
truthful,0,0.005025126,0.020100503,0.040201005,0.025125628,0.005025126,0.040201005,0,0.070351759,0.010050251
truthful,0,0,0.019607843,0,0,0,0,0,0.039215686,0
truthful,0.011111111,0,0.033333333,0.022222222,0.011111111,0.011111111,0.044444444,0,0.066666667,0.011111111
truthful,0.016666667,0,0,0.066666667,0.016666667,0.016666667,0.083333333,0,0.116666667,0
truthful,0,0.009345794,0.009345794,0.028037383,0.028037383,0,0.028037383,0,0.056074766,0
truthful,0,0.007518797,0,0.007518797,0,0.007518797,0.007518797,0,0.045112782,0.007518797
truthful,0,0.012658228,0,0,0.012658228,0,0.012658228,0,0.037974684,0
truthful,0,0,0.026666667,0.046666667,0.033333333,0.006666667,0.04,0,0.08,0
truthful,0,0,0.034188034,0.042735043,0.017094017,0,0.034188034,0,0.076923077,0
truthful,0,0,0.018348624,0.018348624,0.009174312,0.009174312,0.018348624,0,0.036697248,0.018348624
truthful,0.00990099,0.01980198,0.03960396,0.02970297,0.00990099,0.00990099,0.01980198,0.00990099,0.03960396,0.01980198
truthful,0.024096386,0.024096386,0.036144578,0.048192771,0.036144578,0.048192771,0.060240964,0.024096386,0.060240964,0.036144578
truthful,0,0.00877193,0,0.00877193,0.01754386,0.01754386,0.00877193,0,0.052631579,0.01754386
truthful,0,0,0.00729927,0.04379562,0.01459854,0,0.051094891,0,0.065693431,0.01459854
truthful,0.006849315,0.01369863,0.047945205,0.054794521,0.020547945,0.01369863,0.04109589,0.006849315,0.102739726,0.020547945
truthful,0,0,0.015151515,0.015151515,0,0.015151515,0.022727273,0,0.053030303,0.007575758
truthful,0,0,0.012048193,0.024096386,0.018072289,0.006024096,0.030120482,0,0.072289157,0
truthful,0,0,0.024390244,0.073170732,0,0,0.097560976,0,0.097560976,0
truthful,0,0,0.034482759,0.068965517,0.022988506,0.011494253,0.057471264,0,0.091954023,0.022988506
truthful,0,0,0.052631579,0.070175439,0,0,0.070175439,0,0.087719298,0
truthful,0.015384615,0.015384615,0.030769231,0.015384615,0.015384615,0.015384615,0.030769231,0,0.030769231,0.015384615
truthful,0,0.009174312,0.027522936,0.036697248,0.036697248,0.009174312,0.055045872,0,0.073394495,0.018348624
truthful,0,0,0.03255814,0.037209302,0.004651163,0,0.041860465,0,0.069767442,0.013953488
truthful,0.014705882,0.014705882,0.029411765,0.044117647,0.029411765,0.014705882,0.029411765,0,0.058823529,0.014705882
truthful,0.013888889,0.013888889,0.055555556,0.097222222,0.027777778,0.013888889,0.083333333,0.013888889,0.097222222,0.013888889
truthful,0,0.00990099,0.03960396,0.00990099,0,0,0.04950495,0,0.04950495,0
truthful,0,0,0.046875,0.078125,0.015625,0.015625,0.0625,0,0.09375,0
truthful,0,0,0.021929825,0.035087719,0.004385965,0,0.052631579,0,0.065789474,0
truthful,0,0.004830918,0.014492754,0.024154589,0.014492754,0.009661836,0.024154589,0,0.057971014,0.004830918
truthful,0.002915452,0.002915452,0.020408163,0.026239067,0.008746356,0.008746356,0.026239067,0,0.049562682,0.011661808
truthful,0,0,0,0.019607843,0.009803922,0,0,0,0.039215686,0
truthful,0.003424658,0.003424658,0.017123288,0.017123288,0.010273973,0.003424658,0.01369863,0.003424658,0.023972603,0.006849315
truthful,0.003521127,0,0.028169014,0.021126761,0.007042254,0,0.017605634,0.003521127,0.049295775,0.021126761
truthful,0,0,0,0,0,0.037037037,0,0,0.037037037,0.018518519
truthful,0,0,0,0.034883721,0,0,0.011627907,0,0.046511628,0.023255814
truthful,0,0.02247191,0.04494382,0.04494382,0,0.011235955,0.02247191,0,0.056179775,0.02247191
truthful,0.040650407,0.016260163,0.024390244,0.056910569,0.032520325,0.008130081,0.040650407,0.016260163,0.056910569,0.048780488
truthful,0,0,0.012195122,0.024390244,0,0,0.042682927,0,0.042682927,0.006097561
truthful,0.016129032,0,0.048387097,0.016129032,0,0,0.032258065,0,0.080645161,0.016129032
truthful,0,0,0.028571429,0.042857143,0.014285714,0,0.071428571,0,0.071428571,0
truthful,0,0.009090909,0.018181818,0.027272727,0.009090909,0.009090909,0.018181818,0,0.045454545,0.009090909
truthful,0,0,0.050847458,0.059322034,0.008474576,0,0.050847458,0,0.084745763,0
truthful,0.00877193,0,0.01754386,0.043859649,0.01754386,0.01754386,0.035087719,0.00877193,0.078947368,0.01754386
truthful,0.021276596,0.010638298,0.021276596,0.042553191,0.010638298,0.021276596,0.053191489,0.010638298,0.063829787,0.021276596
truthful,0,0.012658228,0.018987342,0.018987342,0.018987342,0.006329114,0.044303797,0,0.075949367,0.006329114
truthful,0,0,0,0.034482759,0,0.011494253,0.045977011,0,0.08045977,0
truthful,0,0,0.016129032,0.032258065,0,0.016129032,0.016129032,0,0.064516129,0
truthful,0,0,0.037735849,0.037735849,0.037735849,0,0.056603774,0,0.056603774,0
truthful,0,0,0.048192771,0.072289157,0.030120482,0.018072289,0.096385542,0,0.13253012,0.006024096
truthful,0.003257329,0.003257329,0.009771987,0.019543974,0.006514658,0.009771987,0.026058632,0,0.039087948,0.003257329
truthful,0,0.005847953,0.023391813,0.029239766,0.01754386,0.005847953,0.01754386,0,0.046783626,0.01754386
truthful,0,0,0,0.018987342,0.006329114,0.018987342,0.025316456,0,0.056962025,0.006329114
truthful,0,0,0,0.017241379,0.00862069,0,0.00862069,0,0.017241379,0.017241379
truthful,0,0,0.047368421,0.042105263,0.026315789,0.005263158,0.042105263,0,0.068421053,0
truthful,0,0.010471204,0.031413613,0.02617801,0.015706806,0.005235602,0.031413613,0,0.052356021,0.010471204
truthful,0,0,0.017241379,0.017241379,0,0.017241379,0.025862069,0,0.025862069,0.034482759
truthful,0.008403361,0,0.033613445,0.042016807,0.008403361,0.016806723,0.025210084,0.016806723,0.042016807,0.016806723
truthful,0,0,0.011627907,0.011627907,0,0,0.011627907,0,0.034883721,0.011627907
truthful,0,0,0.011904762,0.035714286,0.023809524,0,0.011904762,0,0.035714286,0.023809524
truthful,0,0,0.037974684,0.075949367,0.075949367,0,0.063291139,0,0.101265823,0
truthful,0.007462687,0,0.014925373,0.014925373,0,0.02238806,0.007462687,0.014925373,0.037313433,0.02238806
truthful,0,0,0,0.027027027,0,0,0.027027027,0,0.081081081,0
truthful,0,0,0,0.019047619,0,0,0.00952381,0,0.019047619,0
truthful,0,0,0.028037383,0.028037383,0.009345794,0,0.046728972,0,0.08411215,0
truthful,0,0,0.028985507,0.043478261,0.014492754,0.014492754,0.057971014,0,0.086956522,0.014492754
truthful,0,0,0.016129032,0.048387097,0,0,0.048387097,0,0.048387097,0
truthful,0,0,0.012345679,0.037037037,0.012345679,0.012345679,0.024691358,0.012345679,0.037037037,0.024691358
truthful,0.010362694,0.010362694,0.020725389,0.031088083,0.005181347,0.015544041,0.041450777,0.005181347,0.051813472,0.025906736
truthful,0.010204082,0.010204082,0.020408163,0.020408163,0.030612245,0.010204082,0.030612245,0.010204082,0.040816327,0.010204082
truthful,0,0,0.048780488,0.06504065,0.024390244,0,0.048780488,0,0.081300813,0
truthful,0,0,0.04494382,0.050561798,0.016853933,0.011235955,0.056179775,0.005617978,0.073033708,0.011235955
truthful,0,0,0.033519553,0.033519553,0.011173184,0.011173184,0.039106145,0,0.055865922,0.005586592
truthful,0,0.021126761,0.021126761,0.028169014,0.021126761,0.021126761,0.035211268,0,0.077464789,0.028169014
truthful,0,0,0.021978022,0.054945055,0.010989011,0,0.043956044,0,0.065934066,0
truthful,0,0,0.011235955,0.056179775,0.011235955,0,0.033707865,0,0.04494382,0
truthful,0,0,0.04,0.06,0.04,0,0.04,0,0.06,0
truthful,0,0,0,0.045454545,0,0,0.015151515,0,0.03030303,0
truthful,0.007518797,0.007518797,0.022556391,0.052631579,0.022556391,0.015037594,0.030075188,0.007518797,0.037593985,0.007518797
truthful,0,0.005025126,0.045226131,0.030150754,0.025125628,0.005025126,0.065326633,0,0.08040201,0.010050251
truthful,0,0,0.017045455,0.034090909,0.011363636,0.005681818,0.028409091,0,0.056818182,0
truthful,0.006666667,0,0.033333333,0.006666667,0.006666667,0.013333333,0.02,0,0.053333333,0.013333333
truthful,0,0,0,0,0,0,0,0,0,0
truthful,0,0,0,0.016129032,0,0,0,0,0.016129032,0.016129032
truthful,0.0078125,0.015625,0.0078125,0.0625,0.0234375,0.015625,0.0625,0.0078125,0.09375,0.015625
truthful,0,0,0,0,0,0,0.016393443,0,0.049180328,0
truthful,0.008849558,0,0,0.008849558,0,0,0,0.008849558,0.026548673,0.008849558
truthful,0.006060606,0.012121212,0.018181818,0.018181818,0.024242424,0.006060606,0.024242424,0.006060606,0.042424242,0.012121212
truthful,0,0,0,0.066666667,0.033333333,0,0.066666667,0,0.133333333,0
truthful,0,0,0.014705882,0.029411765,0,0,0.029411765,0,0.058823529,0
truthful,0,0,0.017964072,0.023952096,0,0.005988024,0.005988024,0,0.035928144,0.011976048
